Simbolo,Codice Alimento,Nome Alimento ITA,Nome Alimento ENG,Nome Scientifico,Categoria Merceologica,parte edibile,"Energia, Ric con fibra (kcal)","Energia, Ric con fibra (kJ)",Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Colesterolo,Carboidrati disponibili (MSE),Amido (MSE),Carboidrati solubili (MSE),Fibra alimentare totale,Alcol,Acqua,Ferro,Calcio,Sodio,Potassio,Fosforo,Zinco,Magnesio,Rame,Selenio,Cloro,Iodio,Manganese,Zolfo,"Vitamina B1, Tiamina","Vitamina B2, Riboflavina",Vitamina C,Niacina,Vitamina B6,Folati totali,Acido pantotenico,Biotina,Vitamina B12,Retinolo equivalenti (RE),Retinolo,ß-carotene equivalenti,Vitamina E (ATE),Vitamina D,Vitamina K,Acidi grassi saturi totali,"Somma degli acidi butirrico (C4:0), caproico (C6:0), caprilico (C8:0) e caprico (C10:0)",Acido laurico (C12:0),Acido miristico (C14:0),Acido palmitico (C16:0),Acido stearico (C18:0),Acido arachidico (C20:0),Acido beenico (C22:0),Acidi grassi monoinsaturi totali,Acido miristoleico (C14:1),Acido palmitoleico (C16:1ω-7),Acido oleico (C18:1ω-9cis),Acidi eicosenoico (C20:1ω-9),Acido erucico (C22:1ω-9),Acidi grassi polinsaturi totali,Acido linoleico (C18:2ω-6),Acido linolenico (C18:3ω-3),Acido arachidonico (C20:4ω-6),Acido eicosapentaenoico (EPA) (C20:5ω-3),Acido docosaesaenoico (DHA) (C22:6ω-3),Altri acidi grassi polinsaturi,Triptofano,Treonina,Isoleucina,Leucina,Lisina,Metionina,Cistina,Fenilalanina,Tirosina,Valina,Arginina,Istidina,Alanina,Acido aspartico,Acido glutammico,Glicina,Prolina,Serina,Glucosio,Fruttosio,Galattosio,Saccarosio (MSE),Maltosio (MSE),Lattosio (MSE)
3,900077_2,"FRUTTA SECCA, NS","DRIED FRUIT, NS",,4003,62,509,2113,"12,9",0,"12,9","36,6",0,"36,6",0,"28,8","10,3","18,5","9,8",0,"9,1",3,92,13,739,265,"2,82",128,"0,65","2,8",38,5,"2,26",124,"0,36","0,25",1,"2,53","0,49",58,"0,94",31,0,27,0,160,"7,1",0,"11,29","3,24",0,0,"0,2","2,25","0,63","0,16",0,"12,66",0,"0,1","12,48","0,08",0,"15,67","13,75","1,88",0,0,0,"0,04",109,381,483,848,399,215,236,567,431,642,1657,301,576,1442,2523,652,649,580,"6,2","5,7",0,"6,3","0,3",0
3,9076_2,"FRUTTA SECCA, OLEAGINOSA, NS","DRIED FRUIT, OLEAGINEUS, NS",,4003,37,647,2672,"18,8",0,"18,8","59,5",0,"59,5",0,"5,1","1,7","3,4","8,6",0,"5,5",3,103,2,699,371,"4,53",182,"0,83","3,8",23,8,"3,39",174,"0,5","0,23",1,"3,31","0,45",55,"1,15","49,8",0,5,0,31,"10,35",0,"8,13","5,19",0,0,"0,32","3,55","1,03","0,29","0,01","18,56",0,"0,17","18,25","0,14",0,"27,76","24,23","3,46",0,0,0,"0,07",157,538,717,1288,529,310,320,850,667,951,2637,439,805,1901,3863,978,916,851,"0,1","0,1",0,"3,2",0,0
3,9077_2,"FRUTTA SECCA, ZUCCHERINA, NS","DRIED FRUIT, HIGH IN SUGAR, NS",,4003,98,302,1280,"4,1",0,"4,1",2,0,2,0,"65,1","19,7","45,3","11,9",0,"15,3","2,6",71,30,806,98,"0,62",49,"0,35","1,3",64,1,"0,57",57,"0,11","0,27",2,"1,59","0,4",55,"0,64","2,1",0,111,0,667,"1,58",0,"11,13","0,33",0,0,0,"0,29","0,03","0,01",0,"0,62",0,"0,02","0,59",0,0,"0,72","0,66","0,07",0,0,0,0,38,128,132,203,193,79,99,141,90,188,235,97,226,766,487,176,336,179,"16,7",16,0,"12,7",0,0
3,3100_2,FARINA DI CASTAGNE,"FLOUR, CHESTNUT",Castanea sativa,4004,100,348,1473,"6,1",0,"6,1","3,7",0,"3,7",0,"71,6","44,2","27,5","10,9",0,"11,4","3,2",50,11,847,164,"0,9",62,"0,43",-2,28,"0,1","0,9",55,"0,23","0,37",0,1,"0,64",215,"0,92","2,6",0,0,0,0,"2,26",0,"7,8","0,696",0,0,"0,016","0,628","0,035",-3,-3,"1,276",-3,"0,035","1,225","0,016",0,"1,462","1,305","0,156",0,0,0,0,68,218,241,361,361,144,193,258,169,341,436,169,408,1053,787,314,321,305,-2,-2,0,"27,5",0,0
3,999834_2,FARINA DI COCCO,"FLOUR, COCONUT",Cocos Nucifera,4004,100,632,2601,"5,6",0,"5,6",62,0,62,0,"6,4",0,"6,4","13,7",0,"2,3","3,6",23,28,660,160,"0,9",90,"0,55",12,200,3,"1,8",76,"0,03","0,05",0,"0,9","0,09",9,"0,5","0,5",0,0,0,0,"1,26",0,"0,3","53,27","8,94","27,86","9,23","5,26","1,4","0,58",0,"4,08",0,"0,23","3,85",0,0,"1,05","1,05",0,0,0,0,0,74,220,250,440,230,120,110,290,180,360,860,140,290,580,1230,290,240,320,-2,"0,8",0,"5,6",0,0
3,100201_2,SUCCO DI ALBICOCCA,"JUICE, APRICOT",,4010,100,48,202,"0,3",0,"0,3","0,1",0,"0,1",0,12,0,12,"0,2",0,86,"0,4",9,3,70,13,"0,1",5,"0,07",0,3,"0,2","0,03",4,"0,01","0,01",60,"0,26","0,02",1,"0,1","0,5",0,132,0,792,"0,31",0,"1,2","0,007",0,0,0,"0,006","0,001",0,0,"0,042",0,0,"0,042",0,0,"0,019","0,019",0,0,0,0,0,3,10,9,17,21,1,1,11,6,10,10,6,15,67,34,9,22,18,"2,7","1,5",0,"7,7",0,0
3,100203_2,"SPREMUTA DI POMPELMO, fresco","JUICE, GRAPEFRUIT, fresh",,4010,100,31,132,"0,3",0,"0,3",-2,0,-2,0,"7,9",0,"7,9",0,0,90,"0,4",13,9,123,13,"0,4",12,"0,03","0,1",4,4,"0,02",4,"0,03","0,02",28,"0,2","0,04",10,"0,19",1,0,1,0,6,"0,22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,6,7,3,3,18,3,6,34,3,10,53,77,6,24,11,"2,4","2,7",0,"2,8",0,0
3,19070_2,SUCCO TROPICALE,"JUICE, TROPICAL",,4010,100,45,192,"0,2",0,"0,2","0,1",0,"0,1",0,"11,5",0,"11,5","0,1",0,88,"0,3",7,14,61,6,"0,06",6,"0,05","0,1",-3,-3,"0,41",-3,"0,03","0,02",46,"0,27","0,04",9,"0,05",-3,0,-2,0,1,"0,01",0,"0,1","0,006",0,0,0,"0,005","0,002",-3,-3,"0,01",-3,"0,001","0,009",0,0,"0,028","0,017","0,011",0,0,0,0,2,7,7,9,10,4,5,8,7,9,7,4,12,45,29,9,6,13,"2,3","2,8",0,"6,3",0,0
3,3006_2,SUCCO DI FRUTTA,"JUICE, FRUIT",,4010,100,56,241,"0,3",0,"0,3","0,1",0,"0,1",0,"14,5",0,"14,5",-2,0,"84,5","0,3",8,4,42,11,"0,09",4,"0,07",0,3,1,"0,03",5,"0,01","0,03",31,"0,3","0,02",1,"0,06","0,4",0,66,0,397,"0,18",0,"1,5","0,007",0,0,0,"0,006","0,001",-3,-3,"0,042",-3,0,"0,042",0,0,"0,019","0,019",0,0,0,0,0,3,10,9,17,21,1,1,11,6,10,10,6,15,67,34,9,22,18,"3,2","1,8",0,"9,3",0,0
3,3016_2,"BEVANDA DI MANDORLE, preparata da ricetta",ALMOND BEVERAGE (prepared from recipe),,4010,100,57,239,"1,3",0,"1,3","3,3",0,"3,3",0,"5,5","0,1","5,4","0,8",0,"89,2","0,2",14,1,47,33,"0,16",16,"0,06","0,1",1,0,"0,1",10,"0,01","0,02",0,"0,18","0,01",3,"0,03","3,8",0,0,0,0,"1,56",0,0,"0,28",0,0,0,"0,21","0,06","0,01",0,"2,37",0,"0,02","2,34",0,0,"0,65","0,63","0,02",0,0,0,0,24,34,51,87,29,12,17,64,37,62,130,39,55,147,323,76,63,63,0,0,0,"5,4",0,0
